Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-03-25,The Dark Knight Rises,2012,https://letterboxd.com/malantonio/film/the-dark-knight-rises/,2.5,Yes,"streaming, google play",2018-03-24
2018-03-27,The Nice Guys,2016,https://letterboxd.com/malantonio/film/the-nice-guys/,4.5,,dvd,2018-03-26
2018-03-30,Blow Up of Blow-Up,2016,https://letterboxd.com/malantonio/film/blow-up-of-blow-up/,2.5,,"streaming, filmstruck",2018-03-29
2018-03-30,Black Panthers,1968,https://letterboxd.com/malantonio/film/black-panthers/,3.5,,"streaming, filmstruck",2018-03-29
2018-03-31,The Craft,1996,https://letterboxd.com/malantonio/film/the-craft/2/,4.5,Yes,"digital, theater",2018-03-30
2018-04-01,Five Easy Pieces,1970,https://letterboxd.com/malantonio/film/five-easy-pieces/,3.5,,"streaming, filmstruck",2018-03-31
2018-04-01,The Passion of Joan of Arc,1928,https://letterboxd.com/malantonio/film/the-passion-of-joan-of-arc/,5,Yes,"streaming, filmstruck",2018-03-31
2018-04-02,Decasia,2002,https://letterboxd.com/malantonio/film/decasia/,3.5,,"streaming, filmstruck",2018-04-01
2018-04-02,Benny's Video,1992,https://letterboxd.com/malantonio/film/bennys-video/,2.5,Yes,"streaming, filmstruck",2018-04-01
2018-04-04,Dawson City: Frozen Time,2016,https://letterboxd.com/malantonio/film/dawson-city-frozen-time/,3.5,,"streaming, filmstruck",2018-04-03
2018-04-06,Voyage to the Sky,1937,https://letterboxd.com/malantonio/film/voyage-to-the-sky/,3.5,,"streaming, filmstruck",2018-04-05
2018-04-08,Light Is Calling,2004,https://letterboxd.com/malantonio/film/light-is-calling/,3.5,,"streaming, filmstruck",2018-04-08
2018-04-09,The Film of Her,1996,https://letterboxd.com/malantonio/film/the-film-of-her/,2.5,,"streaming, filmstruck",2018-04-08
2018-04-12,Unsane,2018,https://letterboxd.com/malantonio/film/unsane/,3,,"theater, digital, moviepass",2018-04-11
2018-04-14,Andre the Giant,2018,https://letterboxd.com/malantonio/film/andre-the-giant/,3,,"streaming, hbo",2018-04-13
2018-04-16,Zodiac,2007,https://letterboxd.com/malantonio/film/zodiac/,4,Yes,"streaming, hulu",2018-04-15
2018-04-16,Se7en,1995,https://letterboxd.com/malantonio/film/se7en/,4,Yes,"streaming, netflix",2018-04-15
2018-04-17,Eraserhead,1977,https://letterboxd.com/malantonio/film/eraserhead/,5,Yes,"streaming, filmstruck",2018-04-16
2018-04-18,The Killing of a Sacred Deer,2017,https://letterboxd.com/malantonio/film/the-killing-of-a-sacred-deer/,4.5,,"streaming, amazon prime",2018-04-17
2018-04-19,In Search of Ozu,2018,https://letterboxd.com/malantonio/film/in-search-of-ozu/,3.5,,"streaming, filmstruck",2018-04-19
2018-04-24,Out of the Past,1947,https://letterboxd.com/malantonio/film/out-of-the-past/,3,Yes,"streaming, airplane, delta",2018-04-23
2018-04-30,My Winnipeg,2007,https://letterboxd.com/malantonio/film/my-winnipeg/,3.5,,"filmstruck, streaming",2018-04-29
2018-05-01,The Devils,1971,https://letterboxd.com/malantonio/film/the-devils/,3.5,,download,2018-04-30
2018-05-05,Groundhog Day,1993,https://letterboxd.com/malantonio/film/groundhog-day/,3.5,,"drive-in, 35mm",2018-05-04
2018-05-05,Stripes,1981,https://letterboxd.com/malantonio/film/stripes/,2,,"35mm, drive-in",2018-05-04
2018-05-06,Ghostbusters,1984,https://letterboxd.com/malantonio/film/ghostbusters/,3,Yes,"drive-in, digital",2018-05-05
2018-05-13,GoodFellas,1990,https://letterboxd.com/malantonio/film/goodfellas/1/,5,Yes,"35mm, drive-in",2018-05-12
2018-05-13,Casino,1995,https://letterboxd.com/malantonio/film/casino/,3,,,2018-05-12
2018-05-20,The Perfect Roommate,2011,https://letterboxd.com/malantonio/film/the-perfect-roommate/,2.5,,"streaming, lifetime",2018-05-19
2018-05-21,A Quiet Place,2018,https://letterboxd.com/malantonio/film/a-quiet-place-2018/,2.5,,"theater, moviepass, digital",2018-05-20
2018-05-21,Skate Witches,1986,https://letterboxd.com/malantonio/film/skate-witches/,5,Yes,"streaming, youtube",2018-05-20
2018-05-25,Manson's Lost Girls,2016,https://letterboxd.com/malantonio/film/mansons-lost-girls/,2.5,,"streaming, lifetime movie club",2018-05-23
2018-05-26,Re-Animator,1985,https://letterboxd.com/malantonio/film/re-animator/,3,,"35mm, drive-in",2018-05-25
2018-05-26,Return of the Living Dead Part II,1988,https://letterboxd.com/malantonio/film/return-of-the-living-dead-part-ii/,2,,"35mm, drive-in",2018-05-25
2018-05-27,Pet Sematary,1989,https://letterboxd.com/malantonio/film/pet-sematary/1/,3,Yes,"35mm, drive-in",2018-05-26
2018-05-27,Tales from the Crypt,1972,https://letterboxd.com/malantonio/film/tales-from-the-crypt/,5,,"35mm, drive-in",2018-05-27
