Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-10-14,Friday the 13th,1980,https://letterboxd.com/malantonio/film/friday-the-13th/3/,4,dvd,2017-10-13
2017-10-14,Friday the 13th Part 2,1981,https://letterboxd.com/malantonio/film/friday-the-13th-part-2/2/,3.5,dvd,2017-10-13
2017-10-14,Friday the 13th Part III,1982,https://letterboxd.com/malantonio/film/friday-the-13th-part-iii/4/,3,blu-ray,2017-10-13
2017-10-14,Friday the 13th: The Final Chapter,1984,https://letterboxd.com/malantonio/film/friday-the-13th-the-final-chapter/,3.5,dvd,2017-10-13
2017-10-14,Friday the 13th: A New Beginning,1985,https://letterboxd.com/malantonio/film/friday-the-13th-a-new-beginning/1/,3,dvd,2017-10-13
2017-10-15,The Fly II,1989,https://letterboxd.com/malantonio/film/the-fly-ii/,3,download,2017-10-14
2017-10-16,The Prowler,1981,https://letterboxd.com/malantonio/film/the-prowler-1981/,3,"streaming, amazon",2017-10-15
2017-10-16,Gerald's Game,2017,https://letterboxd.com/malantonio/film/geralds-game/,3.5,"netflix, streaming",2017-10-15
2017-10-18,Frankenstein,1931,https://letterboxd.com/malantonio/film/frankenstein-1931/,4,"streaming, shudder",2017-10-17
2017-10-18,The Babysitter,2017,https://letterboxd.com/malantonio/film/the-babysitter-2017/,2.5,"netflix, streaming",2017-10-17
2017-10-18,The Happening,2008,https://letterboxd.com/malantonio/film/the-happening/,2,"streaming, hbo",2017-10-18
2017-10-19,Maniac,2012,https://letterboxd.com/malantonio/film/maniac-2012/,3,"streaming, shudder",2017-10-18
2017-10-20,The Shining,1980,https://letterboxd.com/malantonio/film/the-shining/1/,5,,2017-10-20
2017-10-21,Dracula,1931,https://letterboxd.com/malantonio/film/dracula/,4,"streaming, shudder",2017-10-20
2017-10-24,Happy Death Day,2017,https://letterboxd.com/malantonio/film/happy-death-day/,3,"digital, theater, moviepass",2017-10-23
2017-10-24,Bride of Frankenstein,1935,https://letterboxd.com/malantonio/film/bride-of-frankenstein/,4,"streaming, shudder",2017-10-23
2017-10-25,White Zombie,1932,https://letterboxd.com/malantonio/film/white-zombie/,2.5,dvd,2017-10-24
2017-10-26,The Cannibal Man,1972,https://letterboxd.com/malantonio/film/the-cannibal-man/,3,"streaming, shudder",2017-10-25
2017-10-27,Children of the Corn,1984,https://letterboxd.com/malantonio/film/children-of-the-corn/,1.5,"netflix, streaming",2017-10-26
2017-10-29,Anguish,1987,https://letterboxd.com/malantonio/film/anguish/,3,"theater, 35mm",2017-10-28
2017-10-29,Pumpkinhead,1988,https://letterboxd.com/malantonio/film/pumpkinhead/,2.5,"theater, 35mm, exhumed films",2017-10-28
2017-10-29,The Changeling,1980,https://letterboxd.com/malantonio/film/the-changeling/,3,"35mm, theater, exhumed films",2017-10-28
2017-10-29,The Mist,2007,https://letterboxd.com/malantonio/film/the-mist/,2.5,"35mm, exhumed films",2017-10-28
