Date,Name,Year,Letterboxd URI,Rating
2015-12-07,Everybody's Fine,2009,https://letterboxd.com/film/everybodys-fine-2009/,3
2015-12-08,Point Blank,1967,https://letterboxd.com/film/point-blank/,4
2015-12-12,In a Lonely Place,1950,https://letterboxd.com/film/in-a-lonely-place/,3.5
2015-12-12,Die Hard,1988,https://letterboxd.com/film/die-hard/,5
2015-12-14,Krampus,2015,https://letterboxd.com/film/krampus/,3
2015-12-19,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,5
2015-12-19,A Dog Named Christmas,2009,https://letterboxd.com/film/a-dog-named-christmas/,3
2015-12-20,Beyond the Darkness,1979,https://letterboxd.com/film/beyond-the-darkness/,3.5
2015-12-22,Star Wars: The Force Awakens,2015,https://letterboxd.com/film/star-wars-the-force-awakens/,4
2015-12-30,An Unreal Dream: The Michael Morton Story,2013,https://letterboxd.com/film/an-unreal-dream-the-michael-morton-story/,3
2016-01-09,Shania A Life in Eight Albums,2005,https://letterboxd.com/film/shania-a-life-in-eight-albums/,3.5
2016-01-10,Female Trouble,1974,https://letterboxd.com/film/female-trouble/,4
2016-01-10,Practical Magic,1998,https://letterboxd.com/film/practical-magic/,3.5
2016-01-11,Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/,4
2016-01-25,Win Win,2011,https://letterboxd.com/film/win-win/,4
2016-01-30,Ex Machina,2014,https://letterboxd.com/film/ex-machina-2014/,3.5
2016-01-31,Ghost World,2001,https://letterboxd.com/film/ghost-world/,4
2016-01-31,The Revenant,2015,https://letterboxd.com/film/the-revenant-2015/,4
2016-02-09,Crossfire,1947,https://letterboxd.com/film/crossfire/,3.5
2016-02-12,The Passenger,1975,https://letterboxd.com/film/the-passenger/,5
2016-02-12,"Hail, Caesar!",2016,https://letterboxd.com/film/hail-caesar-2016/,3.5
2016-02-15,Irrational Man,2015,https://letterboxd.com/film/irrational-man/,2.5
