Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2015-11-26,Pure Country,1992,https://letterboxd.com/malantonio/film/pure-country/,2.5,,"streaming, feeln",2015-11-25
2015-12-07,Everybody's Fine,2009,https://letterboxd.com/malantonio/film/everybodys-fine-2009/,3,,"streaming, feeln",2015-12-06
2015-12-08,Point Blank,1967,https://letterboxd.com/malantonio/film/point-blank/,4,,"dvd, library",2015-12-07
2015-12-12,In a Lonely Place,1950,https://letterboxd.com/malantonio/film/in-a-lonely-place/,3.5,,"dvd, film noir",2015-12-11
2015-12-12,Die Hard,1988,https://letterboxd.com/malantonio/film/die-hard/,5,Yes,dvd,2015-12-11
2015-12-14,Krampus,2015,https://letterboxd.com/malantonio/film/krampus/,3,,"digital, theater",2015-12-13
2015-12-19,Eyes Wide Shut,1999,https://letterboxd.com/malantonio/film/eyes-wide-shut/,4.5,Yes,"netflix, streaming",2015-12-18
2015-12-19,A Dog Named Christmas,2009,https://letterboxd.com/malantonio/film/a-dog-named-christmas/,3,,"feeln, streaming",2015-12-18
2015-12-20,Beyond the Darkness,1979,https://letterboxd.com/malantonio/film/beyond-the-darkness/,3,,download,2015-12-19
2015-12-22,Star Wars: The Force Awakens,2015,https://letterboxd.com/malantonio/film/star-wars-the-force-awakens/,4,,"digital, theater",2015-12-21
2015-12-30,An Unreal Dream: The Michael Morton Story,2013,https://letterboxd.com/malantonio/film/an-unreal-dream-the-michael-morton-story/,3,,"netflix, streaming",2015-12-29
2016-01-09,Shania A Life in Eight Albums,2005,https://letterboxd.com/malantonio/film/shania-a-life-in-eight-albums/,3.5,,"streaming, feeln",2016-01-08
2016-01-10,Female Trouble,1974,https://letterboxd.com/malantonio/film/female-trouble/,4,,download,2016-01-09
2016-01-10,Practical Magic,1998,https://letterboxd.com/malantonio/film/practical-magic/,3.5,,"netflix, streaming",2016-01-09
2016-01-11,Mad Max: Fury Road,2015,https://letterboxd.com/malantonio/film/mad-max-fury-road/,4,,"hbo, streaming",2016-01-10
2016-01-25,Win Win,2011,https://letterboxd.com/malantonio/film/win-win/,4,,"streaming, hbo",2016-01-24
2016-01-30,Ex Machina,2014,https://letterboxd.com/malantonio/film/ex-machina-2014/,3.5,,"amazon, streaming",2016-01-29
2016-01-31,Ghost World,2001,https://letterboxd.com/malantonio/film/ghost-world/,4,Yes,vhs,2016-01-30
2016-01-31,The Revenant,2015,https://letterboxd.com/malantonio/film/the-revenant-2015/,4,,"digital, theater",2016-01-30
2016-02-09,Crossfire,1947,https://letterboxd.com/malantonio/film/crossfire/,3.5,,"film noir, download",2016-02-08
