Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-05-28,Zombie Flesh Eaters,1979,https://letterboxd.com/malantonio/film/zombie-flesh-eaters/1/,3.5,Yes,grows on me each time. a high-water mark for italian zombie pictures. ,"35mm, drive-in",2018-05-27
2018-05-28,Black Magic Part II,1976,https://letterboxd.com/malantonio/film/black-magic-part-ii/,2.5,,"final reel was missing, but i still need to see this again just to try to figure out what the hell is going on. ","35mm, drive-in",2018-05-28
2018-06-01,The Alphabet,1968,https://letterboxd.com/malantonio/film/the-alphabet/,4,Yes,the thought of lynch making this in a tiny apartment in philadelphia fills me with joy and wonder.,"streaming, filmstruck",2018-05-31
2018-06-01,Altered States,1980,https://letterboxd.com/malantonio/film/altered-states/,3.5,Yes,"in a nice twist, i enjoyed this a whole lot more than i did whenever it was i first saw it. incredible compositions, eerie/cacophonous score. the dialogue is almost impossible to follow at times, however: people yelling smart things over each other at a breakneck pace. (according to imdb trivia: intentionally hard to understand as a protest against the material?) i also have no concrete idea of what is going on? what a weird horror movie.","streaming, filmstruck",2018-05-31
2018-06-02,Halloween,1978,https://letterboxd.com/malantonio/film/halloween-1978/2/,4,Yes,beat-up print at the drive-in is a great way to see this. ,"35mm, drive-in",2018-06-01
2018-06-02,Prince of Darkness,1987,https://letterboxd.com/malantonio/film/prince-of-darkness/,1.5,,i found this to be incredibly incomprehensible to the point where i sat slackjawed trying to understand what anyone was saying. it's a jumbled hodgepodge of ideas encountered by something like 8 characters who have no idea what is happening. maybe i need to watch it alone where i'm able to rewind. there are some interesting images/concepts in the backhalf but by that point i was gone.,"35mm, drive-in",2018-06-01
2018-06-03,Christine,1983,https://letterboxd.com/malantonio/film/christine-1983/,3,,"as terrible as the concept of an evil car sounds, this manages to pull it off pretty well.","35mm, drive-in",2018-06-02
2018-06-03,In the Mouth of Madness,1994,https://letterboxd.com/malantonio/film/in-the-mouth-of-madness/,3,,"kind of like a lovecraftian noir which is an interesting idea. all of the driving scenes really got me, as did the dream sequence with the cop. the scenes with sutter cane are a little much but i'm on board all the way down. ","35mm, drive-in",2018-06-02
2018-06-04,Peeping Tom,1960,https://letterboxd.com/malantonio/film/peeping-tom/,3,,has the grimy feel of an american film of the 70s.  super interesting to see this executed in 1960,filmstruck,2018-06-03
2018-06-04,Enter the Dragon,1973,https://letterboxd.com/malantonio/film/enter-the-dragon/,3,,"i wonder if a lot of the reputation around this movie has to do with bruce lee's death during post-production. it's a fine watch, definitely a good first classic martial arts film, but there weren't any moments that felt as revelatory as i was expecting with its notoriety.",download,2018-06-03
2018-06-04,My Cousin Vinny,1992,https://letterboxd.com/malantonio/film/my-cousin-vinny/,4,Yes,"an all-around Very Good 90s comedy. the laughs still land for me, even after watching this all the time on cable in my early 20s. marissa tomei deserved her oscar. i'll always pop for fred gwynne. if i have a complaint, it's that vinny's courtroom prowess seems unearned. there could've been more than just a montage to show that he has his shit together.",dvd-rip,2018-06-03
2018-06-05,Boy Meets Girl,2015,https://letterboxd.com/malantonio/film/boy-meets-girl-2015/,3.5,,"this was a very nice watch. its independent-ness shows at times (the film would have benefitted from more post-production work, especially some of the color timing and foley work) but it adds to the film's charm. the writing feels true most of the time and the dialogue is more vulgar (read: ""real"") than i was expecting. that being said, the characters seem to have odd boundaries with some of the topics, which i can't tell is true to the characters or the writer getting to a certain point and then pulling back (""no that's too far!""). for some of the characters it feels a bit jarring for them to be prudish, but then again, that's how some people are.

also, not to spoil anything, but a character has a shift in the last act that feels a little out of place and just kind of... there? maybe unearned? i don't know; the scene where it happens also just feels a little oddly placed in the story. 

anyway, it's a good watch. a mature look at a story that could have been super watered-down in a not-good Lifetime way. michelle hendley is fantastic in her first role (?!)","streaming, hulu",2018-06-04
2018-06-08,Hereditary,2018,https://letterboxd.com/malantonio/film/hereditary/,5,,it's every bit as good as the trailer made it seem and then some. legit terrifying.,"digital, theater",2018-06-07
2018-06-10,The Room,2003,https://letterboxd.com/malantonio/film/the-room/,3,,"they're all in hell, right? like, every character is trapped in a hell where time has no meaning and they keep trying to exit but no one can get away. 
",download,2018-06-09
2018-06-11,Hereditary,2018,https://letterboxd.com/malantonio/film/hereditary/1/,5,Yes,"it's still fucking great. seeing it again so shortly after the first time made me aware of how i watch films initially. like how easily i get sucked into a story and miss small moments/details; how willing i am to go along for the ride. this one got me and is likely to continue getting me. the second time around was a lot clearer-eyed and let me enjoy the craft of the film, which is exceptional for a first-timer.","theater, digital",2018-06-10
2018-06-11,Police Story,1985,https://letterboxd.com/malantonio/film/police-story/,3,,"nobody does an action set piece like jackie chan. some jokes/gags haven't aged well, but a fun trip overall. ","streaming, google play",2018-06-10
2018-06-11,The Disaster Artist,2017,https://letterboxd.com/malantonio/film/the-disaster-artist/,2,,"did this need to get made? it had the feel of a funny or die sketch that went on for way too long. maybe a shot-for-shot remake á la van sant's PSYCHO would've conveyed the same love of the source material without mythologizing the original. or even a documentary. to me, that's when this film really shined. ",,2018-06-10
2018-06-14,Upgrade,2018,https://letterboxd.com/malantonio/film/upgrade/,1.5,,"i'll give it props for looking like a much larger budgeted film. you really can do a lot with cgi for not a lot of money.

the score is also a really nice warm synth bath at times.","theater, digital",2018-06-13
2018-06-17,From Dusk Till Dawn,1996,https://letterboxd.com/malantonio/film/from-dusk-till-dawn/,2.5,,this is great any time tarantino isn't on screen. i'd watch the shit out of a bergman-esque film w/ keitel's character,"35mm, drive-in",2018-06-16
2018-06-17,Near Dark,1987,https://letterboxd.com/malantonio/film/near-dark/,3.5,,i had to let this one sink in a bit but i think i really dug it. it shares a vibe with my favorite 80s b-movies which i can't explain too well: the story is tight and works within its tight budget super well. ,"35mm, drive-in",2018-06-16
